precinct_id,year,office,party,votes,county,precinct_name,registered,turnout_eligible
270010005,2022,US_HOUSE,REP,500,Aitkin,Aitkin,1298,876
270010010,2022,US_HOUSE,REP,349,Aitkin,Aitkin Twp,622,498
270010015,2022,US_HOUSE,REP,89,Aitkin,Ball Bluff Twp,200,143
270010020,2022,US_HOUSE,REP,10,Aitkin,Balsam Twp,24,19
270010025,2022,US_HOUSE,REP,16,Aitkin,Beaver Twp,52,35
270010030,2022,US_HOUSE,REP,51,Aitkin,Clark Twp,97,87
270010035,2022,US_HOUSE,REP,16,Aitkin,Cornish Twp,44,35
270010038,2022,US_HOUSE,REP,14,Aitkin,Unorg 47-24 (Davidson Unorg),36,24
270010040,2022,US_HOUSE,REP,479,Aitkin,Farm Island Twp,921,728
270010045,2022,US_HOUSE,REP,129,Aitkin,Fleming Twp,246,191
270010050,2022,US_HOUSE,REP,188,Aitkin,Glen Twp,380,300
270010055,2022,US_HOUSE,REP,63,Aitkin,Haugen Twp,125,95
270010060,2022,US_HOUSE,REP,329,Aitkin,Hazelton Twp,683,491
270010065,2022,US_HOUSE,REP,103,Aitkin,Hill City,317,174
270010070,2022,US_HOUSE,REP,139,Aitkin,Hill Lake Twp,302,210
270010075,2022,US_HOUSE,REP,84,Aitkin,Idun Twp,148,111
270010080,2022,US_HOUSE,REP,143,Aitkin,Jevne Twp,254,195
270010082,2022,US_HOUSE,REP,9,Aitkin,Unorg 45-24 (Jewett Unorg),23,15
270010085,2022,US_HOUSE,REP,74,Aitkin,Kimberly Twp,137,112
270010090,2022,US_HOUSE,REP,227,Aitkin,Lakeside Twp,416,323
270010095,2022,US_HOUSE,REP,25,Aitkin,Lee Twp,34,26
270010100,2022,US_HOUSE,REP,11,Aitkin,Libby Twp E,19,14
270010105,2022,US_HOUSE,REP,7,Aitkin,Libby Twp W,21,15
270010110,2022,US_HOUSE,REP,60,Aitkin,Logan Twp,143,100
270010115,2022,US_HOUSE,REP,16,Aitkin,Mcgrath,30,20
270010120,2022,US_HOUSE,REP,65,Aitkin,Mcgregor,180,104
270010125,2022,US_HOUSE,REP,37,Aitkin,Mcgregor Twp,67,48
270010130,2022,US_HOUSE,REP,50,Aitkin,Macville Twp,111,81
270010132,2022,US_HOUSE,REP,16,Aitkin,Millward Twp,41,31
270010135,2022,US_HOUSE,REP,147,Aitkin,Malmo Twp,274,206
270010140,2022,US_HOUSE,REP,55,Aitkin,Morrison Twp,111,82
270010145,2022,US_HOUSE,REP,444,Aitkin,Nordland Twp,808,678
270010150,2022,US_HOUSE,REP,33,Aitkin,Palisade,96,66
270010155,2022,US_HOUSE,REP,43,Aitkin,Pliny Twp,66,52
270010160,2022,US_HOUSE,REP,42,Aitkin,Rice River Twp,86,63
270010165,2022,US_HOUSE,REP,21,Aitkin,Salo Twp,55,37
270010170,2022,US_HOUSE,REP,24,Aitkin,Seavey Twp,41,27
270010175,2022,US_HOUSE,REP,458,Aitkin,Shamrock Twp,957,730
270010180,2022,US_HOUSE,REP,38,Aitkin,Spalding Twp,130,70
270010185,2022,US_HOUSE,REP,213,Aitkin,Spencer Twp,391,317
270010190,2022,US_HOUSE,REP,13,Aitkin,Tamarack,39,20
270010195,2022,US_HOUSE,REP,49,Aitkin,Turner Twp,126,84
270010200,2022,US_HOUSE,REP,16,Aitkin,Verdon Twp,31,28
270010205,2022,US_HOUSE,REP,118,Aitkin,Wagner Twp,219,168
270010210,2022,US_HOUSE,REP,133,Aitkin,Waukenabo Twp,257,193
270010215,2022,US_HOUSE,REP,115,Aitkin,Wealthwood Twp,233,169
270010220,2022,US_HOUSE,REP,12,Aitkin,White Pine Twp,29,14
270010225,2022,US_HOUSE,REP,51,Aitkin,Williams Twp,92,70
270010230,2022,US_HOUSE,REP,95,Aitkin,Workman Twp,167,133
270010240,2022,US_HOUSE,REP,3,Aitkin,Ne Aitkin Unorg,7,5
270010250,2022,US_HOUSE,REP,123,Aitkin,Nw Aitkin Unorg,250,192
